invoice_id,sku_no,total_price
1038,16631,76031366
1040,214,131978080
1039,22327,-14057136
1041,28457,91582029
1038,35347,4883291
1037,35425,53438616
1042,3675,25725435
1041,37322,53127680
1038,46630,44715790
1041,50673,114089079
1039,50750,126802676
1037,51057,52504100
1037,53154,51456350
1041,56126,-21078198
1037,56658,64558017
1040,64827,117836712
1039,67354,6678672
1038,70775,3376626
1038,75387,128470088
1037,75643,18900596
1042,80025,24858240
1040,85162,3966344
1039,85979,113181900
1041,86769,73234692
1040,89362,156674984
1040,9054,835402
1039,96549,43435364
1013,97RJ3J1IG4,56250000
1018,97RJ3J1IG4,6630090
1011,IFB7IAA5HU,322500
1014,IFB7IAA5HU,600000
1011,MX7R97RTC7,49400000
1009,P6DPF72FN8,33000
18,TRG8QVK5SI,183760
12,TRG8QVK5SI,183760
19,TRG8QVK5SI,183760
4,TRG8QVK5SI,183760
20,TRG8QVK5SI,183760
13,TRG8QVK5SI,183760
21,TRG8QVK5SI,183760
7,TRG8QVK5SI,183760
22,TRG8QVK5SI,183760
14,TRG8QVK5SI,183760
23,TRG8QVK5SI,183760
10,TRG8QVK5SI,183760
1036,TRG8QVK5SI,19980
24,TRG8QVK5SI,183760
1035,TRG8QVK5SI,19980
1034,TRG8QVK5SI,19980
25,TRG8QVK5SI,183760
1033,TRG8QVK5SI,19980
1032,TRG8QVK5SI,19980
26,TRG8QVK5SI,19980
1031,TRG8QVK5SI,19980
27,TRG8QVK5SI,19980
1030,TRG8QVK5SI,19980
1029,TRG8QVK5SI,19980
1028,TRG8QVK5SI,19980
1001,TRG8QVK5SI,19980
1027,TRG8QVK5SI,19980
1002,TRG8QVK5SI,19980
1026,TRG8QVK5SI,19980
1003,TRG8QVK5SI,19980
1025,TRG8QVK5SI,19980
1004,TRG8QVK5SI,19980
1024,TRG8QVK5SI,19980
1005,TRG8QVK5SI,19980
1023,TRG8QVK5SI,19980
1006,TRG8QVK5SI,19980
1022,TRG8QVK5SI,19980
1008,TRG8QVK5SI,19980
1021,TRG8QVK5SI,19980
15,TRG8QVK5SI,183760
1020,TRG8QVK5SI,19980
1019,TRG8QVK5SI,280000
1010,TRG8QVK5SI,23700
996,TRG8QVK5SI,183760
11,TRG8QVK5SI,183760
17,TRG8QVK5SI,183760
6,TRG8QVK5SI,183760
1016,TRG8QVK5SI,19980
2,TRG8QVK5SI-YTTJR6RNNY,552780
1263,TRG8QVK5SI-YTTJR6RNNY,552780
1016,WBQH1BWFAN,11100000
1264,WBQH1BWFAN,11100000
1015,WBQH1BWFAN,15918680
3,WBQH1BWFAN,11100000
1019,WBQH1BWFAN,10062000
9,WBQH1BWFAN,13280000
1020,WBQH1BWFAN,11100000
1008,WBQH1BWFAN,11100000
1021,WBQH1BWFAN,11100000
1006,WBQH1BWFAN,11100000
1022,WBQH1BWFAN,11100000
1005,WBQH1BWFAN,11100000
1023,WBQH1BWFAN,11100000
1004,WBQH1BWFAN,11100000
1024,WBQH1BWFAN,11100000
1003,WBQH1BWFAN,11100000
1025,WBQH1BWFAN,11100000
1002,WBQH1BWFAN,11100000
1026,WBQH1BWFAN,11100000
1001,WBQH1BWFAN,11100000
1027,WBQH1BWFAN,11100000
1000,WBQH1BWFAN,13318890
1028,WBQH1BWFAN,11100000
5,WBQH1BWFAN,15918680
1029,WBQH1BWFAN,11100000
27,WBQH1BWFAN,11100000
1030,WBQH1BWFAN,11100000
26,WBQH1BWFAN,11100000
1031,WBQH1BWFAN,11100000
25,WBQH1BWFAN,13280000
1032,WBQH1BWFAN,11100000
6,WBQH1BWFAN,13280000
7,WBQH1BWFAN,13280000
24,WBQH1BWFAN,13280000
1034,WBQH1BWFAN,11100000
997,WBQH1BWFAN,13280000
1035,WBQH1BWFAN,11100000
23,WBQH1BWFAN,13280000
1036,WBQH1BWFAN,11100000
999,WBQH1BWFAN,15918680
22,WBQH1BWFAN,13280000
21,WBQH1BWFAN,13280000
20,WBQH1BWFAN,13280000
19,WBQH1BWFAN,13280000
18,WBQH1BWFAN,13280000
17,WBQH1BWFAN,13280000
16,WBQH1BWFAN,15918680
10,WBQH1BWFAN,13280000
15,WBQH1BWFAN,13280000
14,WBQH1BWFAN,13280000
13,WBQH1BWFAN,13280000
12,WBQH1BWFAN,13280000
11,WBQH1BWFAN,13280000
1033,WBQH1BWFAN,11100000
1010,X152KT2GKF,119000000
1012,X152KT2GKF,550000000
998,YTTJR6RNNY,793600
24,YTTJR6RNNY,793600
1015,YTTJR6RNNY,793600
10,YTTJR6RNNY,793600
1000,YTTJR6RNNY,532800
16,YTTJR6RNNY,793600
4,YTTJR6RNNY,793600
1018,YTTJR6RNNY,1320250
23,YTTJR6RNNY,793600
25,YTTJR6RNNY,793600
